test_year,candidate_rule,candidate_share,candidate_units,damage_rate,damage_lift,damage_capture,cost_capture,aos_capture
2008,Random unselected expansion,0.01,64,0.0696875,0.7090814092356688,0.0071019108280254775,0.0076191480476521375,0.010000696265694988
2008,Boundary-certificate expansion,0.02,128,0.4140625,4.213151871019108,0.08439490445859872,0.18054443580343896,0.27061526678580544
2008,Boundary-excess expansion,0.02,128,0.3828125,3.8951781449044587,0.07802547770700637,0.3248250009039645,0.30259707104230976
2008,Posterior-mean expansion,0.02,128,0.4453125,4.531125597133758,0.09076433121019108,0.19595526003358438,0.1975305776684383
2008,Random unselected expansion,0.02,128,0.0690234375,0.7023244675557325,0.014068471337579616,0.02177153435467895,0.016243994708380716
2008,Boundary-certificate expansion,0.05,320,0.396875,4.03826632165605,0.20222929936305734,0.5041066217226134,0.3763780258546661
2008,Boundary-excess expansion,0.05,320,0.396875,4.03826632165605,0.20222929936305734,0.4205282187740218,0.3724789379627266
2008,Posterior-mean expansion,0.05,320,0.403125,4.101861066878981,0.2054140127388535,0.5218064526765687,0.37338408336621254
2008,Random unselected expansion,0.05,320,0.06678125,0.6795098527070064,0.03402866242038217,0.04640573036678102,0.04116879801332188
2009,Boundary-certificate expansion,0.005,44,0.5,5.787248322147652,0.02953020134228188,0.016318543864636725,0.08857921257564433
2009,Boundary-excess expansion,0.005,44,0.45454545454545453,5.261134838316046,0.026845637583892617,0.007731191283236724,0.23670950165151772
2009,Posterior-mean expansion,0.005,44,0.4772727272727273,5.524191580231849,0.028187919463087248,0.013392876466611088,0.005111266485039901
2009,Random unselected expansion,0.005,44,0.0575,0.6655335570469799,0.003395973154362416,0.004047306746994351,0.004490380210719193
2009,Boundary-certificate expansion,0.01,87,0.4827586206896552,5.587688035177043,0.056375838926174496,0.020681320461399387,0.23699881862236902
2009,Boundary-excess expansion,0.01,87,0.40229885057471265,4.656406695980869,0.04697986577181208,0.009622956236016486,0.26863080743544615
2009,Posterior-mean expansion,0.01,87,0.45977011494252873,5.321607652549564,0.053691275167785234,0.020590844308600025,0.23297249077802154
2009,Random unselected expansion,0.01,87,0.05798850574712643,0.6711877651778139,0.006771812080536912,0.013284159121501115,0.011316452491742412
2009,Boundary-certificate expansion,0.02,173,0.3930635838150289,4.549513131861738,0.0912751677852349,0.023628640530171732,0.2897509463075922
2009,Boundary-excess expansion,0.02,173,0.3815028901734104,4.415703922101097,0.08859060402684564,0.024753774102789727,0.29871977240398295
2009,Posterior-mean expansion,0.02,173,0.4161849710982659,4.817131551383016,0.09664429530201342,0.03094865252842897,0.2756226342310196
2009,Random unselected expansion,0.02,173,0.06086705202312139,0.704505489389766,0.014134228187919463,0.012917515434247183,0.024592605540419993
2009,Boundary-certificate expansion,0.05,432,0.3055555555555556,3.5366517524235648,0.17718120805369128,0.05356063423259663,0.37062709453432024
2009,Boundary-excess expansion,0.05,432,0.30324074074074076,3.509858936117326,0.17583892617449665,0.05141182560361173,0.36269498758348
2009,Posterior-mean expansion,0.05,432,0.31712962962962965,3.6706158339547605,0.18389261744966443,0.0639962350324026,0.4972514887769125
2009,Random unselected expansion,0.05,432,0.057175925925925936,0.6617825627641065,0.033154362416107384,0.03523048457670499,0.046613002386865006
2010,Boundary-certificate expansion,0.005,42,0.47619047619047616,5.441617742987606,0.0273972602739726,0.04688973938263645,0.044091156034655306
2010,Boundary-excess expansion,0.005,42,0.38095238095238093,4.3532941943900845,0.021917808219178082,0.05575861213747197,0.02999456723758328
2010,Posterior-mean expansion,0.005,42,0.40476190476190477,4.625375081539465,0.023287671232876714,0.04679938008004977,0.04271866868727304
2010,Random unselected expansion,0.005,42,0.06535714285714285,0.7468620352250488,0.0037602739726027394,0.005527150810993118,0.00699239413261659
2010,Boundary-certificate expansion,0.01,84,0.40476190476190477,4.625375081539465,0.04657534246575343,0.06500019404277352,0.0729419838160867
