test_year,rule,capacity,test_component_units,damage_units,selected_units,selected_damage_units,damage_capture,selected_hit_rate,overall_damage_rate,damage_lift,cost_capture,aos_capture,fallback_share
1999,Full hierarchy with certificates,0.05,4898,848,245,178,0.2099056603773585,0.726530612244898,0.1731318905675786,4.196399691952253,0.4038333915327295,0.4680952494458084,0.044897959183673466
1999,Full hierarchy with certificates,0.1,4898,848,490,313,0.36910377358490565,0.6387755102040816,0.1731318905675786,3.6895311898344243,0.6845267375329832,0.6690820680285081,0.022448979591836733
2000,Direct full cell,0.05,5648,893,283,180,0.20156774916013437,0.6360424028268551,0.15810906515580736,4.022807940835473,0.6031990425010251,0.5016087182148418,0.0
2000,Direct full cell,0.1,5648,893,565,336,0.3762597984322508,0.5946902654867257,0.15810906515580736,3.7612660912307128,0.7688962710191262,0.6460968196308103,0.0
2000,EB component,0.05,5648,893,283,129,0.1444568868980963,0.4558303886925795,0.15810906515580736,2.8830123575987563,0.26617938860485635,0.23362740010378827,0.0
2000,EB component,0.1,5648,893,565,209,0.23404255319148937,0.36991150442477877,0.15810906515580736,2.3395970627000566,0.744144139251307,0.28995477796723257,0.0
2000,EB component-phase,0.05,5648,893,283,157,0.17581187010078386,0.5547703180212014,0.15810906515580736,3.5087824817287183,0.6398049127229131,0.21380384016606124,0.0
2000,EB component-phase,0.1,5648,893,565,265,0.2967525195968645,0.4690265486725664,0.15810906515580736,2.9664747445718422,0.7086821526477125,0.3561865223515457,0.0
2000,EB component-phase-size,0.05,5648,893,283,200,0.22396416573348266,0.7067137809187279,0.15810906515580736,4.4697866009283045,0.46670618543949133,0.583556972347839,0.0
2000,EB component-phase-size,0.1,5648,893,565,343,0.3840985442329227,0.6070796460176991,0.15810906515580736,3.8396258014646865,0.7777271821003178,0.693261175772852,0.0
2000,Full hierarchy,0.05,5648,893,283,199,0.22284434490481522,0.7031802120141343,0.15810906515580736,4.447437667923662,0.4989298964391076,0.6412039439543331,0.024734982332155476
2000,Full hierarchy,0.1,5648,893,565,347,0.3885778275475924,0.6141592920353982,0.15810906515580736,3.8844027787412423,0.7375692312421959,0.7196530506338498,0.01415929203539823
2000,Full hierarchy with certificates,0.05,5648,893,283,199,0.22284434490481522,0.7031802120141343,0.15810906515580736,4.447437667923662,0.4989298964391076,0.6412039439543331,0.024734982332155476
2000,Full hierarchy with certificates,0.1,5648,893,565,347,0.3885778275475924,0.6141592920353982,0.15810906515580736,3.8844027787412423,0.7375692312421959,0.7196530506338498,0.01415929203539823
2001,Direct full cell,0.05,5379,777,269,173,0.22265122265122264,0.6431226765799256,0.14445064138315672,4.452196753311995,0.5087868265676809,0.4188068708274928,0.0
2001,Direct full cell,0.1,5379,777,538,317,0.40797940797940796,0.5892193308550185,0.14445064138315672,4.079035753756943,0.8559166188845801,0.6786724002755934,0.0
2001,EB component,0.05,5379,777,269,138,0.1776061776061776,0.5130111524163569,0.14445064138315672,3.551463306110146,0.07566738881488459,0.12905371694661566,0.0
2001,EB component,0.1,5379,777,538,221,0.28442728442728443,0.4107806691449814,0.14445064138315672,2.843744169022979,0.3485491062405184,0.20056544154332281,0.0
2001,EB component-phase,0.05,5379,777,269,135,0.17374517374517376,0.5018587360594795,0.14445064138315672,3.4742575820642734,0.3601366583844383,0.09572117554821696,0.0
2001,EB component-phase,0.1,5379,777,538,246,0.3166023166023166,0.45724907063197023,0.14445064138315672,3.1654346858807823,0.44347113978144104,0.2656624931695612,0.0
2001,EB component-phase-size,0.05,5379,777,269,195,0.25096525096525096,0.724907063197026,0.14445064138315672,5.0183720629817286,0.30567846843778934,0.4365303746644176,0.0037174721189591076
2001,EB component-phase-size,0.1,5379,777,538,312,0.4015444015444015,0.5799256505576208,0.14445064138315672,4.014697650385383,0.6052322920880949,0.548739635551543,0.0018587360594795538
2001,Full hierarchy,0.05,5379,777,269,191,0.24581724581724582,0.7100371747211895,0.14445064138315672,4.9154310975872315,0.5681029913364851,0.48889311254187356,0.011152416356877323
2001,Full hierarchy,0.1,5379,777,538,325,0.41827541827541825,0.604089219330855,0.14445064138315672,4.18197671915144,0.8334213138181913,0.6513268869829655,0.007434944237918215
2001,Full hierarchy with certificates,0.05,5379,777,269,191,0.24581724581724582,0.7100371747211895,0.14445064138315672,4.9154310975872315,0.5681029913364851,0.48889311254187356,0.011152416356877323
2001,Full hierarchy with certificates,0.1,5379,777,538,325,0.41827541827541825,0.604089219330855,0.14445064138315672,4.18197671915144,0.8334213138181913,0.6513268869829655,0.007434944237918215
2002,Direct full cell,0.05,5710,787,286,180,0.22871664548919948,0.6293706293706294,0.13782837127845884,4.566335824277375,0.6701145614791171,0.6056286697712088,0.0
2002,Direct full cell,0.1,5710,787,571,318,0.4040660736975858,0.5569176882661997,0.13782837127845884,4.040660736975858,0.8531258797596477,0.833225349260984,0.0
2002,EB component,0.05,5710,787,286,134,0.17026683608640406,0.46853146853146854,0.13782837127845884,3.3993833358509344,0.21766723129147533,0.31698724438145376,0.0
2002,EB component,0.1,5710,787,571,227,0.2884371029224905,0.3975481611208406,0.13782837127845884,2.8843710292249045,0.45745431038157164,0.3455962745495039,0.0
2002,EB component-phase,0.05,5710,787,286,129,0.1639135959339263,0.45104895104895104,0.13782837127845884,3.2725406740654517,0.35728229188208444,0.14316663292164405,0.0
2002,EB component-phase,0.1,5710,787,571,245,0.3113087674714104,0.4290718038528897,0.13782837127845884,3.1130876747141043,0.6563306386048663,0.3775865559829925,0.0
2002,EB component-phase-size,0.05,5710,787,286,177,0.22490470139771285,0.6188811188811189,0.13782837127845884,4.490230227206085,0.7174175439925867,0.6517311196598502,0.0
2002,EB component-phase-size,0.1,5710,787,571,301,0.38246505717916135,0.5271453590192644,0.13782837127845884,3.8246505717916133,0.8632848376927315,0.7524802591617736,0.0035026269702276708
2002,Full hierarchy,0.05,5710,787,286,184,0.2337992376111817,0.6433566433566433,0.13782837127845884,4.667809953705761,0.6822981439998484,0.7786191536748329,0.02097902097902098
2002,Full hierarchy,0.1,5710,787,571,322,0.409148665819568,0.563922942206655,0.13782837127845884,4.09148665819568,0.8635214223283064,0.8231828305324964,0.010507880910683012
2002,Full hierarchy with certificates,0.05,5710,787,286,184,0.2337992376111817,0.6433566433566433,0.13782837127845884,4.667809953705761,0.6822981439998484,0.7786191536748329,0.02097902097902098
2002,Full hierarchy with certificates,0.1,5710,787,571,322,0.409148665819568,0.563922942206655,0.13782837127845884,4.09148665819568,0.8635214223283064,0.8231828305324964,0.010507880910683012
2003,Direct full cell,0.05,5953,758,298,163,0.21503957783641162,0.5469798657718121,0.1273307576012095,4.295740291477041,0.4969414880712025,0.5053101104502974,0.0
2003,Direct full cell,0.1,5953,758,596,283,0.3733509234828496,0.4748322147651007,0.1273307576012095,3.7291242407607443,0.5686987336439415,0.6275223024638913,0.0
2003,EB component,0.05,5953,758,298,52,0.06860158311345646,0.174496644295302,0.1273307576012095,1.370420215685927,0.09479709617970003,0.048879566694987255,0.0
2003,EB component,0.1,5953,758,596,74,0.09762532981530343,0.12416107382550336,0.1273307576012095,0.9751066919303712,0.10186253115249105,0.06265930331350893,0.0
2003,EB component-phase,0.05,5953,758,298,69,0.09102902374670185,0.23154362416107382,0.1273307576012095,1.8184422092755572,0.0950807451188663,0.061278674596431604,0.0
2003,EB component-phase,0.1,5953,758,596,170,0.22427440633245382,0.28523489932885904,0.1273307576012095,2.24010996794815,0.5515763969599415,0.17956138487680542,0.0
2003,EB component-phase-size,0.05,5953,758,298,176,0.23218997361477572,0.5906040268456376,0.1273307576012095,4.638345345398523,0.4700991751569638,0.297445836873407,0.0
2003,EB component-phase-size,0.1,5953,758,596,271,0.3575197889182058,0.4546979865771812,0.1273307576012095,3.5709988312585215,0.6248561003807881,0.47047578589634664,0.0
2003,Full hierarchy,0.05,5953,758,298,173,0.22823218997361477,0.5805369127516778,0.1273307576012095,4.559282640647411,0.46712768404286537,0.5367725148683092,0.010067114093959731
2003,Full hierarchy,0.1,5953,758,596,307,0.4050131926121372,0.5151006711409396,0.1273307576012095,4.045375059765189,0.6149224268427859,0.6837563721325404,0.013422818791946308
2003,Full hierarchy with certificates,0.05,5953,758,298,173,0.22823218997361477,0.5805369127516778,0.1273307576012095,4.559282640647411,0.46712768404286537,0.5367725148683092,0.010067114093959731
2003,Full hierarchy with certificates,0.1,5953,758,596,307,0.4050131926121372,0.5151006711409396,0.1273307576012095,4.045375059765189,0.6149224268427859,0.6837563721325404,0.013422818791946308
2004,Direct full cell,0.05,6550,748,328,194,0.25935828877005346,0.5914634146341463,0.11419847328244274,5.179258510499543,0.44569409932273596,0.7141707743385338,0.0
2004,Direct full cell,0.1,6550,748,655,362,0.4839572192513369,0.5526717557251909,0.11419847328244274,4.839572192513369,0.7195993664463933,0.8235381158039785,0.0
2004,EB component,0.05,6550,748,328,135,0.1804812834224599,0.4115853658536585,0.11419847328244274,3.604123190296074,0.47794787904454206,0.26440151297962655,0.0
2004,EB component,0.1,6550,748,655,213,0.28475935828877,0.3251908396946565,0.11419847328244274,2.8475935828877006,0.5697537295023087,0.3093654918570993,0.0
2004,EB component-phase,0.05,6550,748,328,155,0.2072192513368984,0.4725609756097561,0.11419847328244274,4.138067366636233,0.4390774897900258,0.35802868742543764,0.0
2004,EB component-phase,0.1,6550,748,655,250,0.3342245989304813,0.3816793893129771,0.11419847328244274,3.3422459893048133,0.6801032344688691,0.5552524252989429,0.0
2004,EB component-phase-size,0.05,6550,748,328,203,0.2713903743315508,0.6189024390243902,0.11419847328244274,5.4195333898526155,0.32089193689142337,0.7027956830141218,0.006097560975609756
2004,EB component-phase-size,0.1,6550,748,655,341,0.45588235294117646,0.5206106870229008,0.11419847328244274,4.558823529411765,0.709316157445116,0.7684012910266251,0.0030534351145038168
2004,Full hierarchy,0.05,6550,748,328,218,0.2914438502673797,0.6646341463414634,0.11419847328244274,5.819991522107735,0.32206001904198767,0.7207183878813661,0.024390243902439025
2004,Full hierarchy,0.1,6550,748,655,370,0.4946524064171123,0.5648854961832062,0.11419847328244274,4.946524064171124,0.7071053472381597,0.8174159121805957,0.016793893129770993
2004,Full hierarchy with certificates,0.05,6550,748,328,218,0.2914438502673797,0.6646341463414634,0.11419847328244274,5.819991522107735,0.32206001904198767,0.7207183878813661,0.024390243902439025
2004,Full hierarchy with certificates,0.1,6550,748,655,370,0.4946524064171123,0.5648854961832062,0.11419847328244274,4.946524064171124,0.7071053472381597,0.8174159121805957,0.016793893129770993
2005,Direct full cell,0.05,6927,726,347,214,0.29476584022038566,0.6167146974063401,0.10480727587700303,5.884273703765452,0.5964892376549182,0.641856909552104,0.0
2005,Direct full cell,0.1,6927,726,693,371,0.5110192837465565,0.5353535353535354,0.10480727587700303,5.107980632774021,0.6898400171978274,0.7994718371034435,0.0
2005,EB component,0.05,6927,726,347,126,0.17355371900826447,0.3631123919308357,0.10480727587700303,3.464572367637602,0.3187076107004354,0.2304458111817645,0.0
2005,EB component,0.1,6927,726,693,206,0.2837465564738292,0.2972582972582973,0.10480727587700303,2.836237224666977,0.7669930368284912,0.33163070294311825,0.0
2005,EB component-phase,0.05,6927,726,347,165,0.22727272727272727,0.4755043227665706,0.10480727587700303,4.5369400052397175,0.6800288515383491,0.227631258904062,0.0
2005,EB component-phase,0.1,6927,726,693,256,0.3526170798898072,0.3694083694083694,0.10480727587700303,3.5246443180327476,0.7346161348195442,0.5488376941519858,0.0
2005,EB component-phase-size,0.05,6927,726,347,223,0.3071625344352617,0.6426512968299711,0.10480727587700303,6.131743158596708,0.4174025712678804,0.7204906355328539,0.0
2005,EB component-phase-size,0.1,6927,726,693,363,0.5,0.5238095238095238,0.10480727587700303,4.997835497835498,0.7157959102040623,0.8175405677751137,0.0
2005,Full hierarchy,0.05,6927,726,347,228,0.3140495867768595,0.6570605187319885,0.10480727587700303,6.269226189058518,0.39444229129238906,0.6967928003057785,0.008645533141210375
