train_start,train_end,test_year,rule,capacity,test_component_units,damage_units,selected_units,selected_damage_units,damage_capture,selected_hit_rate,overall_damage_rate,damage_lift,hard_consequence_units,selected_hard_consequence_units,hard_consequence_capture,total_event_cost,selected_event_cost,cost_capture,total_event_aos,selected_event_aos,aos_capture
2007,2011,2012,catboost,0.025,9097,776,228,149,0.19201030927835053,0.6535087719298246,0.08530284709244806,7.661042910110328,1997,196,0.09814722083124687,35850878.0,17575746.0,0.4902459013695564,51981.0,27159.0,0.5224793674611877
2007,2011,2012,catboost,0.05,9097,776,455,263,0.3389175257731959,0.578021978021978,0.08530284709244806,6.776115894414862,1997,359,0.17976965448172258,35850878.0,21031512.0,0.5866386870636753,51981.0,34793.0,0.669340720647929
2007,2011,2012,catboost,0.1,9097,776,910,417,0.5373711340206185,0.4582417582417582,0.08530284709244806,5.371939787017106,1997,645,0.32298447671507263,35850878.0,29639168.0,0.8267347873600195,51981.0,44059.0,0.8475981608664704
2007,2011,2012,catboost,0.2,9097,776,1820,600,0.7731958762886598,0.32967032967032966,0.08530284709244806,3.8647048827461195,1997,1024,0.5127691537305958,35850878.0,33752733.0,0.941475770830494,51981.0,47852.0,0.9205671302976087
2007,2011,2012,tabm,0.01,9097,776,91,63,0.08118556701030928,0.6923076923076923,0.08530284709244806,8.115880253766852,1997,85,0.04256384576865298,35850878.0,9096069.0,0.25371956022945935,51981.0,16009.0,0.30797791500740657
2007,2011,2012,tabm,0.025,9097,776,228,138,0.17783505154639176,0.6052631578947368,0.08530284709244806,7.09546256104178,1997,201,0.10065097646469705,35850878.0,11319015.0,0.31572490358534594,51981.0,26550.0,0.5107635482195417
2007,2011,2012,tabm,0.05,9097,776,455,243,0.3131443298969072,0.5340659340659341,0.08530284709244806,6.260821910048714,1997,354,0.1772658988482724,35850878.0,21711463.0,0.6056047776570493,51981.0,35069.0,0.6746503530136011
2007,2011,2012,tabm,0.1,9097,776,910,398,0.5128865979381443,0.43736263736263736,0.08530284709244806,5.127175144443186,1997,623,0.31196795192789184,35850878.0,29657196.0,0.8272376481267767,51981.0,43767.0,0.8419807237259768
2007,2011,2012,tabm,0.2,9097,776,1820,577,0.7435567010309279,0.317032967032967,0.08530284709244806,3.7165578622408515,1997,1038,0.5197796695042564,35850878.0,32546251.0,0.9078229827453598,51981.0,47814.0,0.9198360939574075
2008,2012,2013,bayesian_posterior_mean,0.01,9153,748,92,67,0.08957219251336898,0.7282608695652174,0.08172183983393423,8.911459544292025,2095,82,0.03914081145584725,24268356.0,4640106.0,0.19119984888964048,60715.0,18911.0,0.3114716297455324
2008,2012,2013,membership_probability,0.01,9153,748,92,67,0.08957219251336898,0.7282608695652174,0.08172183983393423,8.911459544292025,2095,82,0.03914081145584725,24268356.0,4640106.0,0.19119984888964048,60715.0,18911.0,0.3114716297455324
2008,2012,2013,boundary_excess,0.01,9153,748,92,67,0.08957219251336898,0.7282608695652174,0.08172183983393423,8.911459544292025,2095,82,0.03914081145584725,24268356.0,3484808.0,0.14359472887244606,60715.0,18371.0,0.30257761673392075
2008,2012,2013,membership_x_boundary_excess,0.01,9153,748,92,69,0.09224598930481283,0.75,0.08172183983393423,9.177473262032086,2095,82,0.03914081145584725,24268356.0,4641928.0,0.19127492608069538,60715.0,18872.0,0.3108292843613605
