rule,capacity,test_years,test_component_units,damage_units,selected_units,selected_damage_units,damage_capture,selected_hit_rate,overall_damage_rate,damage_lift,hard_consequence_capture,cost_capture,aos_capture,annual_lift_mean,annual_lift_p05,annual_lift_min,annual_lift_sd
boundary_excess,0.025,31,273838,22992,6860,4260,0.18528183716075156,0.6209912536443148,0.08396205055543789,7.396094420470246,0.09927207701894768,0.4283288875838433,0.4362501581892516,7.318123142339824,3.8721465063399076,3.2987179487179485,2.2246085132748394
membership_x_boundary_excess,0.025,31,273838,22992,6860,4260,0.18528183716075156,0.6209912536443148,0.08396205055543789,7.396094420470246,0.09925401441395879,0.42968743119756475,0.44377099648569285,7.317338867394295,3.8377904950551853,3.2987179487179485,2.226056464132061
direct_full_cell,0.025,31,273838,22992,6860,4083,0.17758350730688935,0.5951895043731779,0.08396205055543789,7.088791905816905,0.09472030056174702,0.42105097117846063,0.43553337430899475,7.020219830073432,3.781320643623433,3.1640763997906856,2.0303917784977346
species_size_component,0.025,31,273838,22992,6860,4081,0.1774965205288796,0.5948979591836735,0.08396205055543789,7.085319561018562,0.09425067283203584,0.31237736478821415,0.39101142359203805,7.026807024147485,3.9421797258272155,3.837284144427002,1.8314741971840454
aos_burden_rule,0.025,31,273838,22992,6860,3476,0.1511830201809325,0.5067055393586006,0.08396205055543789,6.0349352595198535,0.09370879468236909,0.10912799182494749,0.47843818020349543,5.9813376296932015,3.2147479086620905,2.6928309785452647,1.669499064719034
cost_burden_rule,0.025,31,273838,22992,6860,2764,0.12021572720946416,0.40291545189504374,0.08396205055543789,4.798780511309803,0.07568231490345538,0.4642368983815691,0.16144087515322664,4.738470208047257,2.0134422514874224,1.855224609375,1.449837979708611
component_only,0.025,31,273838,22992,6860,2263,0.09842553931802366,0.32988338192419825,0.08396205055543789,3.9289581393249216,0.06618138467929845,0.14643114231023494,0.16495830937376335,3.923270953316518,2.5164419010196735,2.1610472631970388,0.8712868565585773
frequency,0.025,31,273838,22992,6860,202,0.008785664578983995,0.02944606413994169,0.08396205055543789,0.3507068246326267,0.010422123078590395,0.007027653312608444,0.0035191667333900668,0.3469332691563307,0.02315294803249917,0.0,0.4620512995350361
catboost,0.05,31,273838,22992,13706,7903,0.34372825330549756,0.576608784473953,0.08396205055543789,6.867492881122928,0.1914636128822499,0.6093944836380403,0.6437059423605619,6.811743784424543,3.984472259853553,3.4260533670832674,1.7009129542110928
lightgbm,0.05,31,273838,22992,13706,7863,0.3419885177453027,0.573690354589231,0.08396205055543789,6.832733964857596,0.19050629481783862,0.625283432840976,0.6395924197676978,6.7820490741747355,4.019098790912171,3.4938960080156094,1.6882943621478104
ridge_logistic,0.05,31,273838,22992,13706,7745,0.3368562978427279,0.565080986429301,0.08396205055543789,6.7301951618748665,0.18786915448946048,0.6080092372468543,0.6459324206161092,6.678733030523461,3.9245467751456826,3.52781732848178,1.6505545348778254
xgboost,0.05,31,273838,22992,13706,7713,0.335464509394572,0.5627462425215234,0.08396205055543789,6.702388028862601,0.18942253851850513,0.6259435827125729,0.643290425140376,6.655359858061463,3.9284689023247097,3.697423930812635,1.5904347160837105
tabm,0.05,31,273838,22992,13706,7513,0.3267658315935978,0.5481540930979133,0.08396205055543789,6.528593447535942,0.19001860448313856,0.611840606461381,0.6508520381268212,6.476856013959623,3.665764267604524,3.2903680852185837,1.5645495510207512
bayesian_posterior_mean,0.05,31,273838,22992,13706,7423,0.32285142658315935,0.5415876258572888,0.08396205055543789,6.450385885938946,0.18286581290753753,0.6034526672527404,0.626537978730442,6.401309531163535,3.5556662894890945,3.3242894056847545,1.6534272162596546
hierarchical_eb_execution,0.05,31,273838,22992,13706,7423,0.32285142658315935,0.5415876258572888,0.08396205055543789,6.450385885938946,0.18286581290753753,0.6034526672527404,0.626537978730442,6.401309531163535,3.5556662894890945,3.3242894056847545,1.6534272162596546
boundary_excess,0.05,31,273838,22992,13706,7408,0.3221990257480863,0.540493214650518,0.08396205055543789,6.4373512923394465,0.18308256416740423,0.5499667816242835,0.6281550196021267,6.3861624807340895,3.506835685370956,3.2903680852185837,1.6968340439349967
membership_x_boundary_excess,0.05,31,273838,22992,13706,7407,0.3221555323590814,0.5404202539034,0.08396205055543789,6.436482319432813,0.18302837635243754,0.5565333108852869,0.624783982717699,6.387301247315575,3.572979555018403,3.3242894056847545,1.6677217511428049
membership_probability,0.05,31,273838,22992,13706,7404,0.3220250521920668,0.5402013716620458,0.08396205055543789,6.433875400712914,0.18263099904268193,0.5823028831724268,0.6264548181134808,6.381710517084565,3.5556662894890945,3.2903680852185837,1.6638584718879714
random_forest,0.05,31,273838,22992,13706,7250,0.31532707028531665,0.528965416605866,0.08396205055543789,6.300053573091386,0.1825045608077597,0.6400711692104873,0.6015645595923306,6.257161756101308,3.7793968520806884,3.5617386489479514,1.49405542800399
direct_full_cell,0.05,31,273838,22992,13706,7093,0.30849860821155184,0.5175105793083321,0.08396205055543789,6.163624826749959,0.17580333435688095,0.6031471162233538,0.5762991860507349,6.113765331517278,3.3270592312473446,2.713705637293677,1.7231544512201205
species_size_component,0.05,31,273838,22992,13706,6840,0.2974947807933194,0.49905151028746536,0.08396205055543789,5.943774681371735,0.16774741253183534,0.48621437407765944,0.5217137351860514,5.904802686782083,3.664076729851387,3.5705357142857146,1.2899560701280455
aos_burden_rule,0.05,31,273838,22992,13706,5856,0.2546972860125261,0.4272581351233037,0.08396205055543789,5.088705341244573,0.16689847009735745,0.25354417446104366,0.6411864442061256,5.051439055950787,3.2609153615998974,2.611941675895164,1.1341287456245244
cost_burden_rule,0.05,31,273838,22992,13706,4566,0.19859081419624217,0.33313877134101855,0.08396205055543789,3.9677302916876234,0.13250727019850803,0.6177417288661995,0.2655430333280292,3.927916607454963,2.2097483075787943,1.5943020619100352,0.9140606717345207
component_only,0.05,31,273838,22992,13706,3573,0.15540187891440502,0.2606887494527944,0.08396205055543789,3.1048401954007616,0.11130177194154942,0.3743854129693397,0.24846718740632237,3.1083097822366,2.342265077255534,1.370420215685927,0.6132446420152979
frequency,0.05,31,273838,22992,13706,522,0.022703549060542796,0.03808550999562235,0.08396205055543789,0.45360385726257973,0.02302982136083666,0.01828190838712419,0.006040536001708049,0.4569069236398603,0.10081690885079639,0.058346470253156174,0.38967565787029923
